#NearbyGene	NearbyGeneSymbol	P-value - mRNAs	Fold change - mRNAs
NM_001137641	Lmtk2	3.15E-05	2.89753
NM_001271253	Unc79	1.86E-05	2.3566202
NM_001191940	Aoah	2.79E-07	2.6175832
NM_019329	Cntn3	0.001075089	3.1552971
ENSRNOT00000038184	Fsd1l	2.55E-05	2.7612852
ENSRNOT00000057655	Etl4	0.00051497	2.7501586
NM_001107320	Prosc	2.36E-06	7.684654
NM_138538	Dnm3	3.92E-05	2.7729311
NM_053479	Pola1	0.000867982	2.3975302
NM_001191566	Mbnl1	2.73E-06	2.7716022
NM_053479	Pola1	0.000867982	2.3975302
NM_001085402	Clec2d2	0.000145532	2.5920052
NM_001105750	Stim2	4.83E-07	4.5094985
NM_053801	Sec14l2	0.000124944	2.0083987
NM_001142371	Pnpt1	1.93E-08	3.6542882
NM_001190163	Igf2	0.009615818	2.5093967
NM_017091	Pcsk1	0.019670648	2.9951674
NM_001108951	LOC365985	0.000261933	2.9443066
ENSRNOT00000010098	AABR06033633.1	0.001225529	4.9385708
NM_001085404	Clec2dl1	3.79E-05	4.5329446
NM_031802	Gabbr2	7.50E-08	19.4309843
ENSRNOT00000008851	LOC688875	3.83E-05	2.353628
NM_206950	Mid1ip1	1.53E-05	2.8554118
NM_001195564	Uaca	2.27E-09	3.8130071
NM_138538	Dnm3	3.92E-05	2.7729311
NM_001105750	Stim2	4.83E-07	4.5094985
NM_001108885	Klhl14	2.21E-06	6.6100497
NM_021693	Sik1	7.56E-07	4.5004846
NM_001278483	Runx2	1.46E-05	3.9069061
NM_001108320	Tprg1	4.42E-06	4.6191039
NM_001108320	Tprg1	4.42E-06	4.6191039
NM_022257	Masp1	0.000447928	3.0423678
NM_031344	Fads2	0.002438502	2.1654698
NM_001111321	Vom2r80	4.31E-06	2.5550871
ENSRNOT00000030161	Nxpe5	7.36E-05	2.2744686
NM_001005885	Dnajb13	4.21E-08	5.2473678
NM_017233	Hpd	3.18E-07	107.3735278
NM_001134505	Eno4	6.16E-08	2.7499633
ENSRNOT00000000901	RGD1306556	8.35E-05	2.072254
NM_001270039	Ankrd55	1.76E-06	6.6768749
NM_001012748	Cdh20	0.000239004	3.6066179
ENSRNOT00000015386	Ank2	1.30E-06	2.9289871
ENSRNOT00000014962	Ank2	1.00E-07	4.1807305
NM_198771	Fam3c	1.65E-08	5.5072592
NM_017206	Slc6a6	2.99E-05	2.565891
NM_001013932	Fggy	5.95E-05	2.081915
NM_001014071	Errfi1	3.47E-07	3.5160313
NM_012946	Sparcl1	2.87E-06	3.4508553
NM_019342	Rgs6	0.020457301	3.166959
NM_001271056	Zhx2	2.24E-05	2.0681003
NM_001107236	Cobl	2.65E-10	18.5440544
NM_012983	Myo1d	4.60E-05	2.1459972
ENSRNOT00000064718	AABR06070882.1	1.94E-05	2.9533525
ENSRNOT00000065873	LOC685181	4.84E-05	2.2138506
ENSRNOT00000073947	AABR06070882.1	2.02E-05	5.7572067
ENSRNOT00000074034	AABR06070908.1	8.17E-05	2.5607959
ENSRNOT00000074057	LOC680910	1.18E-05	3.1179655
ENSRNOT00000064718	AABR06070882.1	1.94E-05	2.9533525
ENSRNOT00000065873	LOC685181	4.84E-05	2.2138506
ENSRNOT00000073947	AABR06070882.1	2.02E-05	5.7572067
ENSRNOT00000074034	AABR06070908.1	8.17E-05	2.5607959
ENSRNOT00000074057	LOC680910	1.18E-05	3.1179655
NM_001017453	Pik3ip1	0.000390675	2.28498
NM_031507	Egfr	3.95E-07	3.8490817
NM_031525	Pdgfrb	0.000183364	2.8045038
NM_001008837	RT1-CE14	0.004077621	2.0358444
NM_001008837	RT1-CE14	0.004077621	2.0358444
NM_001008843	RT1-CE5	0.008535068	2.0939313
NM_001106396	Sesn1	8.62E-06	3.4990435
NM_001108885	Klhl14	2.21E-06	6.6100497
ENSRNOT00000007407	LOC686013	5.12E-08	8.3845179
ENSRNOT00000015929	Zfp827	1.18E-05	2.8362962
ENSRNOT00000059838	Zfp827	4.58E-05	2.2830894
ENSRNOT00000073272	LOC100909671	0.000289428	2.216645
NM_001007235	Itpr1	2.00E-07	6.7769711
NM_001270596	Itpr1	1.86E-07	11.708489
NM_001270597	Itpr1	7.06E-08	20.7115741
NM_001134780	Parvb	3.06E-05	2.1706229
