#NearbyGene,NearbyGeneSymbol,P-value - mRNAs,Fold change - mRNAs
NM_001137641,Lmtk2,3.15e-05,2.8975299999999997
NM_001271253,Unc79,1.86e-05,2.3566202
NM_001191940,Aoah,2.79e-07,2.6175832000000003
NM_019329,Cntn3,0.001075089,3.1552971000000003
ENSRNOT00000038184,Fsd1l,2.55e-05,2.7612852
ENSRNOT00000057655,Etl4,0.00051497,2.7501586
NM_001107320,Prosc,2.36e-06,7.684653999999999
NM_138538,Dnm3,3.9200000000000004e-05,2.7729311
NM_053479,Pola1,0.000867982,2.3975302000000003
NM_001191566,Mbnl1,2.73e-06,2.7716022000000002
NM_053479,Pola1,0.000867982,2.3975302000000003
NM_001085402,Clec2d2,0.000145532,2.5920052000000005
NM_001105750,Stim2,4.83e-07,4.5094985
NM_053801,Sec14l2,0.000124944,2.0083987000000003
NM_001142371,Pnpt1,1.93e-08,3.6542882000000003
NM_001190163,Igf2,0.009615818,2.5093967
NM_017091,Pcsk1,0.019670648,2.9951673999999997
NM_001108951,LOC365985,0.000261933,2.9443066000000004
ENSRNOT00000010098,AABR06033633.1,0.001225529,4.9385708
NM_001085404,Clec2dl1,3.79e-05,4.5329445999999995
NM_031802,Gabbr2,7.5e-08,19.4309843
ENSRNOT00000008851,LOC688875,3.8299999999999996e-05,2.353628
NM_206950,Mid1ip1,1.53e-05,2.8554117999999997
NM_001195564,Uaca,2.27e-09,3.8130071000000005
NM_138538,Dnm3,3.9200000000000004e-05,2.7729311
NM_001105750,Stim2,4.83e-07,4.5094985
NM_001108885,Klhl14,2.21e-06,6.6100497
NM_021693,Sik1,7.559999999999999e-07,4.5004846
NM_001278483,Runx2,1.4599999999999999e-05,3.9069061
NM_001108320,Tprg1,4.42e-06,4.619103900000001
NM_001108320,Tprg1,4.42e-06,4.619103900000001
NM_022257,Masp1,0.00044792800000000005,3.0423678
NM_031344,Fads2,0.002438502,2.1654698
NM_001111321,Vom2r80,4.31e-06,2.5550870999999997
ENSRNOT00000030161,Nxpe5,7.36e-05,2.2744686
NM_001005885,Dnajb13,4.21e-08,5.2473678
NM_017233,Hpd,3.18e-07,107.37352779999999
NM_001134505,Eno4,6.16e-08,2.7499632999999997
ENSRNOT00000000901,RGD1306556,8.35e-05,2.072254
NM_001270039,Ankrd55,1.76e-06,6.676874900000001
NM_001012748,Cdh20,0.00023900400000000002,3.6066179
ENSRNOT00000015386,Ank2,1.3e-06,2.9289871
ENSRNOT00000014962,Ank2,1e-07,4.1807305
NM_198771,Fam3c,1.65e-08,5.5072592
NM_017206,Slc6a6,2.99e-05,2.565891
NM_001013932,Fggy,5.9499999999999996e-05,2.081915
NM_001014071,Errfi1,3.47e-07,3.5160312999999994
NM_012946,Sparcl1,2.87e-06,3.4508553
NM_019342,Rgs6,0.020457301,3.166959
NM_001271056,Zhx2,2.24e-05,2.0681003000000002
NM_001107236,Cobl,2.65e-10,18.5440544
NM_012983,Myo1d,4.6e-05,2.1459972
ENSRNOT00000064718,AABR06070882.1,1.9399999999999997e-05,2.9533525000000003
ENSRNOT00000065873,LOC685181,4.84e-05,2.2138506000000002
ENSRNOT00000073947,AABR06070882.1,2.02e-05,5.7572067
ENSRNOT00000074034,AABR06070908.1,8.170000000000001e-05,2.5607959
ENSRNOT00000074057,LOC680910,1.18e-05,3.1179655
ENSRNOT00000064718,AABR06070882.1,1.9399999999999997e-05,2.9533525000000003
ENSRNOT00000065873,LOC685181,4.84e-05,2.2138506000000002
ENSRNOT00000073947,AABR06070882.1,2.02e-05,5.7572067
ENSRNOT00000074034,AABR06070908.1,8.170000000000001e-05,2.5607959
ENSRNOT00000074057,LOC680910,1.18e-05,3.1179655
NM_001017453,Pik3ip1,0.000390675,2.28498
NM_031507,Egfr,3.95e-07,3.8490817
NM_031525,Pdgfrb,0.00018336400000000002,2.8045037999999995
NM_001008837,RT1-CE14,0.004077621,2.0358443999999998
NM_001008837,RT1-CE14,0.004077621,2.0358443999999998
NM_001008843,RT1-CE5,0.008535068,2.0939313000000004
NM_001106396,Sesn1,8.62e-06,3.4990435
NM_001108885,Klhl14,2.21e-06,6.6100497
ENSRNOT00000007407,LOC686013,5.12e-08,8.3845179
ENSRNOT00000015929,Zfp827,1.18e-05,2.8362962000000005
ENSRNOT00000059838,Zfp827,4.5799999999999995e-05,2.2830894
ENSRNOT00000073272,LOC100909671,0.000289428,2.216645
NM_001007235,Itpr1,2e-07,6.7769711
NM_001270596,Itpr1,1.8600000000000002e-07,11.708489
NM_001270597,Itpr1,7.06e-08,20.7115741
NM_001134780,Parvb,3.06e-05,2.1706229
ENSRNOT00000031418,AABR06024097.1,1.48e-06,2.908445
NM_001037660,Csf2ra,5.52e-06,3.0769613999999996
NM_001100836,Fcgr1a,1.4800000000000002e-05,3.0857821
NM_012521,S100g,3.93e-06,69.6457359
ENSRNOT00000038940,RGD1564836,5.99e-05,2.4697182
NM_001013096,Mycn,7.49e-05,2.8418321
ENSRNOT00000071361,Zcchc18,0.014692588000000001,2.2941943
NM_001127602,Slc25a53,7.72e-05,4.3264085
NM_017043,Ptgs1,1.91e-05,2.4723961
NM_031776,Gda,9.32e-09,3.9101331
NM_001108901,Samd5,6.05e-07,8.894160099999999
NM_001007752,Mns1,1.01e-05,2.1764935000000003
ENSRNOT00000074593,LOC100911797,4.63e-06,4.2386693
