#NearbyGene,NearbyGeneSymbol,P-value - mRNAs,Fold change - mRNAs
NM_053854,Nat2,0.001162658,3.0853735
NM_001024303,Lix1l,0.000463215,2.1856897999999996
NM_001107320,Prosc,6.01e-06,6.732421
NM_138538,Dnm3,9.070000000000001e-05,2.8074985
ENSRNOT00000014468,Dlx6,1.67e-05,3.3051149
ENSRNOT00000076086,Dlx6,2.7899999999999997e-05,2.7594129
NM_053479,Pola1,2.4299999999999998e-05,5.7045675000000005
NM_057119,Tra2b,4.24e-05,2.3064065
NM_001033696,Hnrnpdl,2.66e-06,4.3524595
NM_001106361,Pax2,0.000130287,2.8727695
ENSRNOT00000072450,Lmo3,1.85e-06,3.2357598999999997
NM_053817,Nrxn3,0.000299743,3.1629365000000003
NM_053479,Pola1,2.4299999999999998e-05,5.7045675000000005
NM_001134578,RGD1309139,0.001781008,2.1496147
NM_001107762,Nusap1,5.91e-07,10.855882300000001
NM_001047866,Cntnap5c,0.000406138,3.6993071000000004
NM_012722,Eln,3.16e-05,2.2199395
NM_001105750,Stim2,0.00038752800000000005,2.7317881
ENSRNOT00000073971,Arhgef10,2.0300000000000002e-05,2.085036
NM_139340,Plekha5,4.72e-06,13.381496900000002
NM_053977,Cdh17,0.008249034,2.5618981
NM_031802,Gabbr2,1.59e-06,6.3537233
ENSRNOT00000008851,LOC688875,0.004972430999999999,2.3220148999999997
NM_001106713,Klhl29,0.0049299090000000005,2.12248
NM_032070,Hmga2,6.13e-05,5.9975749
ENSRNOT00000033832,Mtcl1,3.05e-05,11.837776
NM_001014039,Tnfaip8l2,0.001436376,2.4697065
NM_001195564,Uaca,0.000104379,2.0362513
NM_019179,Tyms,3.47e-05,3.1717447
NM_001011890,Rnps1,0.011686864,2.1845956
NM_012642,Ren,0.000604252,2.3056182
NM_138538,Dnm3,9.070000000000001e-05,2.8074985
NM_001105750,Stim2,0.00038752800000000005,2.7317881
ENSRNOT00000072836,LOC100363894,4.7600000000000005e-05,2.0591163
NM_001108885,Klhl14,0.0026495040000000004,16.3559934
NM_001101000,Mapre2,2.3e-05,3.0327613999999996
ENSRNOT00000049860,LOC685160,1.63e-06,2.4024457000000004
ENSRNOT00000041664,LOC102553939,1.59e-06,3.694671
NM_001005885,Dnajb13,6.82e-06,4.929777
NM_001107606,Sh3pxd2a,0.004693287,2.8506381000000003
NM_001134505,Eno4,6.36e-05,5.0919576
NM_001014793,Kpna4,0.00033882300000000003,2.192811
NM_199407,Unc5c,0.000778692,4.2289379
NM_001270617,Slc12a1,1.8e-05,2.371211
NM_001108609,Pard6b,8.170000000000001e-05,2.5424716
NM_198771,Fam3c,1.76e-06,3.7220101999999997
ENSRNOT00000040391,RGD1306271,0.000754696,2.5929933
NM_001134555,C1r,0.001159076,2.2438526000000003
NM_001134555,C1r,0.001159076,2.2438526000000003
NM_001013932,Fggy,0.000432431,2.2612116
NM_001013932,Fggy,0.000432431,2.2612116
NM_001014071,Errfi1,0.00040254699999999995,6.4828052000000005
NM_001192017,Sult6b1,0.000321177,5.4790459
NM_001106717,Gen1,1.6899999999999997e-05,5.5663985
NM_019342,Rgs6,0.001054153,7.548665400000001
NM_001135874,Ston2,1.6e-05,5.549138500000001
NM_032070,Hmga2,6.13e-05,5.9975749
NM_001271239,Tmem117,0.000344907,3.4945922999999994
ENSRNOT00000038160,Col6a5,0.001092111,4.6229033
NM_001109093,Grb10,0.001060876,2.530894
NM_134356,Ptprg,0.001894238,2.6812739
NM_001109029,Sgcd,6.31e-06,3.5254447
NM_001134826,Sgcd,0.00020258,3.6417187999999996
NM_032080,Gsk3b,1.73e-05,2.1124652000000004
NM_012767,Gnrh1,0.0017753620000000002,2.7005086
ENSRNOT00000073612,LOC680653,0.00012298700000000002,2.4136176
NM_001271118,Nrg1,5.489999999999999e-05,34.0280723
NM_001271119,Nrg1,0.005053302,2.4988535
NM_001271121,Nrg1,0.007831014,2.1235727000000004
NM_001271122,Nrg1,0.001331207,2.7361063999999997
NM_001271125,Nrg1,0.000740648,2.2651771000000003
NM_001271126,Nrg1,0.010404369,2.2210142999999998
NM_001271129,Nrg1,0.000955295,3.7565498999999996
NM_031588,Nrg1,3.47e-06,2.9456043
NM_001137626,E2f3,3.75e-05,6.6038842
NM_031525,Pdgfrb,0.0028475690000000003,2.5888556
ENSRNOT00000049860,LOC685160,1.63e-06,2.4024457000000004
ENSRNOT00000042781,AABR06097777.1,0.00017409999999999998,3.9606227
ENSRNOT00000044037,AABR06096724.1,6.99e-06,18.3835724
ENSRNOT00000000438,Dna2,2.7399999999999995e-05,2.5087811
ENSRNOT00000075069,LOC684828,0.0018319060000000001,2.2778799
NM_001108885,Klhl14,0.0026495040000000004,16.3559934
ENSRNOT00000007407,LOC686013,4.67e-06,6.19913
NM_001107491,Cxcl17,0.00073443,2.7854345
NM_001127530,LOC302022,6.78e-06,3.3528796
NM_001007235,Itpr1,0.00037208300000000005,6.248230599999999
NM_001270596,Itpr1,0.001445782,7.274458500000001
NM_001270597,Itpr1,0.000815463,10.648123199999999
NM_001109482,Ubxn2a,0.000183447,3.0572437999999997
ENSRNOT00000074186,AABR06038420.1,0.04719732,2.0373345
NM_001107914,Adgrb2,0.000183721,2.3955314999999997
NM_001134780,Parvb,0.00047662,3.0088019
NM_001271239,Tmem117,0.000344907,3.4945922999999994
ENSRNOT00000040561,RGD1561118,0.00048529300000000003,3.2839584000000004
ENSRNOT00000071720,RGD1564031,0.000497772,2.0293686
NM_133383,Scpep1,0.013026447,2.0360198
ENSRNOT00000035071,LOC102550196,0.000251777,2.850316
NM_001191744,Cass4,0.005342151999999999,2.8284423
NM_001109163,Fam111a,2.1e-05,13.382723499999999
NM_001000252,Olr338,0.018859629,2.012518
ENSRNOT00000065987,LOC100910068,0.00013408299999999998,2.2559781
ENSRNOT00000076932,Gml,3.8900000000000004e-05,17.393376800000002
NM_001106641,Rragd,0.000102862,2.9729058
NM_001126096,Lyrm2,0.013862804,2.1199552
NM_001100648,Foxn1,3.96e-06,22.8324872
NM_019156,Vtn,0.00043759800000000003,2.2239377
NM_031746,Slc13a2,2.01e-06,7.424346099999999
ENSRNOT00000072531,LOC691984,3.41e-06,5.886139599999999
ENSRNOT00000074982,LOC691984,1.73e-06,11.5753311
ENSRNOT00000076400,LOC691984,1.25e-07,8.478967800000001
NM_172065,Prpmp5,2.62e-05,2.2718662999999997
NM_001173341,Hmgb3,0.000121557,2.4561472
NM_001013143,Terf2ip,0.0008510639999999999,2.9285245
NM_012618,S100a4,0.003345318,3.9301407999999998
ENSRNOT00000040476,Armcx4,0.000419184,2.4289581
NM_001007757,Armcx6,0.00039160599999999996,2.0228794999999997
NM_001106530,Sun5,0.001886534,2.5058592
ENSRNOT00000074593,LOC100911797,7.01e-05,3.5229480000000004
ENSRNOT00000076143,LOC100911797,6.879999999999999e-05,2.1958472
NM_001170469,Dcp2,0.000104881,2.7803685000000002
NM_001008875,Spink14,0.000919025,3.2489127
NM_053905,Lmnb1,8.63e-05,2.634934
NM_001107345,Tfap2a,0.00030989900000000004,2.9272544999999996
NM_001009674,Itm2c,0.004428882,2.2304769
NM_173302,Slc22a24,6.92e-06,2.7505342999999995
ENSRNOT00000025462,Ctsl,6.840000000000001e-05,2.8159291
NM_001109114,Aaed1,0.000421294,2.7162704
NM_021754,Nop58,7.8e-05,2.1276054
NM_199400,Ica1l,0.000390066,2.4471707
NM_001271205,Sox4,0.002494501,2.0078681
NM_173302,Slc22a24,6.92e-06,2.7505342999999995
NM_173302,Slc22a24,6.92e-06,2.7505342999999995
NM_001107774,Itpa,6.63e-06,2.0253372
NM_001105765,Zfp13,0.000353875,2.3211051
ENSRNOT00000073783,AABR06062966.2,0.009251314,2.1304147999999996
NM_001107527,Man2a2,1.4800000000000002e-05,2.4741065
NM_001134962,Ttll13,0.00031863,2.6300521
NM_001170462,Sema4b,1.3300000000000001e-05,5.3676336
NM_031145,Cib1,6.75e-06,2.0444876
NM_001100735,Lpcat1,3.9500000000000005e-05,2.1152427000000005
NM_021754,Nop58,7.8e-05,2.1276054
NM_001100496,Spop,0.004679066,2.2930046
NM_001109039,Fam117a,5.9699999999999994e-05,2.2098963
NM_001037660,Csf2ra,0.002793407,2.421656
NM_001139492,Ppp2r3b,3.49e-06,2.4985015
NM_001000733,Olr268,0.003610605,2.2739165
ENSRNOT00000073993,LOC100911572,0.00014571,2.1226267000000005
ENSRNOT00000033132,RGD1563620,0.00018690700000000002,2.7041245
NM_147177,Ruvbl1,6.65e-06,3.0791204
NM_001034912,Fam134b,0.000739937,4.322759400000001
NM_001105811,Rilp,9.31e-05,3.1339107000000004
NM_001191590,Prpf8,7.42e-05,2.7094883
ENSRNOT00000039493,AABR06007876.1,1.9e-06,6.7736296000000005
NM_001191821,Frmd4a,0.000801763,2.3889913
NM_053492,Slc44a1,0.000111366,2.4128946
ENSRNOT00000043826,Zfp952,7.780000000000001e-05,2.7356532000000002
NM_198726,Kpna1,2.72e-05,2.0018516
NM_017258,Btg1,0.001705162,2.9633795
ENSRNOT00000058989,LOC503134,2.48e-06,3.6214584000000003
ENSRNOT00000074063,Zfp551,0.00043752,2.2320125
NM_001008951,Vom1r57,1.25e-05,2.7828941
NM_001034022,Mprip,0.000245321,2.2372672000000002
NM_134459,Cd99l2,0.004554593,2.4700467999999995
NM_001024741,Chaf1b,1.37e-07,7.398083099999999
NM_001191660,Dopey2,4.72e-05,2.7193389999999997
NM_001108415,Elmo1,1.29e-05,2.2807362999999996
ENSRNOT00000012135,LOC100361349,1.89e-05,2.0154034
ENSRNOT00000044052,AABR06019066.1,5.529999999999999e-07,2.365082
ENSRNOT00000066614,Sprr4,0.002293476,2.8729607999999995
NM_001037581,Rhox10,0.004416675,3.9802663999999996
NM_001079896,LOC367975,1.04e-05,8.3852751
ENSRNOT00000071886,LOC680236,0.005309471999999999,2.9356301
ENSRNOT00000071343,AABR06101952.1,0.001084788,2.4719612
NM_001077590,Bves,0.000639784,5.6514012000000005
NM_001108539,Hace1,6.31e-05,3.7564037000000003
NM_001100725,Exosc7,3.4e-07,2.9282372000000003
NM_181635,Kif15,0.00038331300000000003,4.1206043
ENSRNOT00000061476,AABR06058610.1,0.007015591,2.1016657000000003
ENSRNOT00000071620,LOC100912852,0.002437485,2.2422019
ENSRNOT00000074599,AABR06058583.1,0.005062495,2.3223863999999996
ENSRNOT00000058989,LOC503134,2.48e-06,3.6214584000000003
NM_001012044,Lcp1,0.0047952609999999994,3.5399705000000004
NM_001012742,Wee1,1.17e-05,2.4875011000000002
NM_001134970,Sbf2,0.000184225,2.6076740000000003
ENSRNOT00000021014,RGD1560857,4.51e-07,2.0325912
ENSRNOT00000047825,AABR06045135.1,1.3699999999999998e-05,7.1971841
ENSRNOT00000059403,Btn2a2,4.44e-05,2.5143446
ENSRNOT00000072286,LOC680097,0.000315381,3.3664735
NM_001013056,Hist1h2ail1,0.000197712,2.2697230999999998
NM_001170337,Btn1a1,0.008096615,2.1744985
