#NearbyGene	NearbyGeneSymbol	P-value - mRNAs	Fold change - mRNAs
ENSRNOT00000031418	AABR06024097.1	1.48E-06	2.908445
NM_001037660	Csf2ra	5.52E-06	3.0769614
NM_001100836	Fcgr1a	1.48E-05	3.0857821
NM_012521	S100g	3.93E-06	69.6457359
ENSRNOT00000038940	RGD1564836	5.99E-05	2.4697182
NM_001013096	Mycn	7.49E-05	2.8418321
ENSRNOT00000071361	Zcchc18	0.014692588	2.2941943
NM_001127602	Slc25a53	7.72E-05	4.3264085
NM_017043	Ptgs1	1.91E-05	2.4723961
NM_031776	Gda	9.32E-09	3.9101331
NM_001108901	Samd5	6.05E-07	8.8941601
NM_001007752	Mns1	1.01E-05	2.1764935
ENSRNOT00000074593	LOC100911797	4.63E-06	4.2386693
NM_001037159	Pcdhgb8	0.000619426	2.2280203
NM_001037337	Pcdhga12	0.000185266	2.5985891
NM_053943	Pcdhgc3	2.76E-05	3.1226896
NM_001114604	Pcdhb21	0.001752646	2.2177323
NM_001108439	Large	7.35E-07	2.0195009
NM_214458	Phactr2	2.44E-07	4.7803443
NM_001025638	Stx11	8.22E-05	2.2878119
ENSRNOT00000029967	AABR06008699.1	0.002850796	2.078525
NM_001014011	Gramd3	3.67E-05	2.1449125
ENSRNOT00000021613	Ccdc106	0.000129914	2.4438367
ENSRNOT00000023246	Tmem238	1.63E-07	4.1182545
ENSRNOT00000066383	Tmem190	0.004653059	2.3534635
NM_001127337	Brsk1	9.67E-05	3.7094849
NM_133519	Il11	1.92E-07	9.7786791
NM_001007691	Prss23	1.47E-06	2.6399143
NM_022623	Fzd4	0.000181045	3.1534507
NM_001109400	Hist1h2bk	7.62E-06	2.1857461
NM_022686	Hist1h4b	4.80E-06	2.9174763
NM_173302	Slc22a24	0.003092809	2.1293015
ENSRNOT00000034599	LOC100362965	5.13E-06	2.3574551
NM_001108797	Fam117b	8.19E-06	2.0801892
NM_001304368	Cnbd2	3.46E-05	2.1136475
NM_001107661	Zc2hc1a	1.58E-05	2.5367247
NM_013110	Il7	1.02E-06	14.4216267
ENSRNOT00000060520	AABR06070618.1	3.82E-08	5.4281494
ENSRNOT00000044780	Arhgef5	9.68E-05	4.1493041
NM_001000847	Olr812	0.000446282	2.6592982
ENSRNOT00000073010	AABR06034757.1	7.91E-06	4.1095337
NM_001107529	Prc1	0.000166729	2.9174289
NM_001108488	Fes	2.65E-05	2.0314153
NM_031145	Cib1	8.64E-07	2.1775036
NM_001100735	Lpcat1	6.67E-08	4.0396424
NM_001191735	Elf4	0.000781577	2.1240777
NM_001134992	Sash3	0.000196821	2.3969224
NM_001108578	Aif1l	4.33E-10	7.5760728
NM_012904	Anxa1	6.21E-08	6.0296548
NM_022407	Aldh1a1	8.52E-07	3.2105843
NM_001270632	Bdnf	7.04E-05	2.1136866
NM_001270637	Bdnf	8.64E-06	2.549483
NM_182844	Myrip	4.73E-05	2.0722341
NM_178106	Entpd3	1.11E-09	12.0006916
NM_021679	Nxph3	4.47E-05	2.2733804
NM_001270854	Thrb	3.22E-05	2.0289112
NM_012672	Thrb	4.23E-08	4.7105895
NM_147210	Nr1d2	2.81E-05	2.2351133
NM_001134901	Acpp	2.18E-08	3.6906307
NM_020072	Acpp	3.44E-08	16.5043498
NM_001037660	Csf2ra	5.52E-06	3.0769614
NM_001003402	Eml5	3.17E-05	2.3223808
