#NearbyGene	NearbyGeneSymbol	P-value - mRNAs	Fold change - mRNAs
ENSRNOT00000040561	RGD1561118	0.000485293	3.2839584
ENSRNOT00000071720	RGD1564031	0.000497772	2.0293686
NM_133383	Scpep1	0.013026447	2.0360198
ENSRNOT00000035071	LOC102550196	0.000251777	2.850316
NM_001191744	Cass4	0.005342152	2.8284423
NM_001109163	Fam111a	2.10E-05	13.3827235
NM_001000252	Olr338	0.018859629	2.012518
ENSRNOT00000065987	LOC100910068	0.000134083	2.2559781
ENSRNOT00000076932	Gml	3.89E-05	17.3933768
NM_001106641	Rragd	0.000102862	2.9729058
NM_001126096	Lyrm2	0.013862804	2.1199552
NM_001100648	Foxn1	3.96E-06	22.8324872
NM_019156	Vtn	0.000437598	2.2239377
NM_031746	Slc13a2	2.01E-06	7.4243461
ENSRNOT00000072531	LOC691984	3.41E-06	5.8861396
ENSRNOT00000074982	LOC691984	1.73E-06	11.5753311
ENSRNOT00000076400	LOC691984	1.25E-07	8.4789678
NM_172065	Prpmp5	2.62E-05	2.2718663
NM_001173341	Hmgb3	0.000121557	2.4561472
NM_001013143	Terf2ip	0.000851064	2.9285245
NM_012618	S100a4	0.003345318	3.9301408
ENSRNOT00000040476	Armcx4	0.000419184	2.4289581
NM_001007757	Armcx6	0.000391606	2.0228795
NM_001106530	Sun5	0.001886534	2.5058592
ENSRNOT00000074593	LOC100911797	7.01E-05	3.522948
ENSRNOT00000076143	LOC100911797	6.88E-05	2.1958472
NM_001170469	Dcp2	0.000104881	2.7803685
NM_001008875	Spink14	0.000919025	3.2489127
NM_053905	Lmnb1	8.63E-05	2.634934
NM_001107345	Tfap2a	0.000309899	2.9272545
NM_001009674	Itm2c	0.004428882	2.2304769
NM_173302	Slc22a24	6.92E-06	2.7505343
ENSRNOT00000025462	Ctsl	6.84E-05	2.8159291
NM_001109114	Aaed1	0.000421294	2.7162704
NM_021754	Nop58	7.80E-05	2.1276054
NM_199400	Ica1l	0.000390066	2.4471707
NM_001271205	Sox4	0.002494501	2.0078681
NM_173302	Slc22a24	6.92E-06	2.7505343
NM_173302	Slc22a24	6.92E-06	2.7505343
NM_001107774	Itpa	6.63E-06	2.0253372
NM_001105765	Zfp13	0.000353875	2.3211051
ENSRNOT00000073783	AABR06062966.2	0.009251314	2.1304148
NM_001107527	Man2a2	1.48E-05	2.4741065
NM_001134962	Ttll13	0.00031863	2.6300521
NM_001170462	Sema4b	1.33E-05	5.3676336
NM_031145	Cib1	6.75E-06	2.0444876
NM_001100735	Lpcat1	3.95E-05	2.1152427
NM_021754	Nop58	7.80E-05	2.1276054
NM_001100496	Spop	0.004679066	2.2930046
NM_001109039	Fam117a	5.97E-05	2.2098963
NM_001037660	Csf2ra	0.002793407	2.421656
NM_001139492	Ppp2r3b	3.49E-06	2.4985015
NM_001000733	Olr268	0.003610605	2.2739165
ENSRNOT00000073993	LOC100911572	0.00014571	2.1226267
ENSRNOT00000033132	RGD1563620	0.000186907	2.7041245
NM_147177	Ruvbl1	6.65E-06	3.0791204
NM_001034912	Fam134b	0.000739937	4.3227594
NM_001105811	Rilp	9.31E-05	3.1339107
NM_001191590	Prpf8	7.42E-05	2.7094883
ENSRNOT00000039493	AABR06007876.1	1.90E-06	6.7736296
NM_001191821	Frmd4a	0.000801763	2.3889913
NM_053492	Slc44a1	0.000111366	2.4128946
ENSRNOT00000043826	Zfp952	7.78E-05	2.7356532
NM_198726	Kpna1	2.72E-05	2.0018516
NM_017258	Btg1	0.001705162	2.9633795
ENSRNOT00000058989	LOC503134	2.48E-06	3.6214584
ENSRNOT00000074063	Zfp551	0.00043752	2.2320125
NM_001008951	Vom1r57	1.25E-05	2.7828941
NM_001034022	Mprip	0.000245321	2.2372672
NM_134459	Cd99l2	0.004554593	2.4700468
NM_001024741	Chaf1b	1.37E-07	7.3980831
NM_001191660	Dopey2	4.72E-05	2.719339
NM_001108415	Elmo1	1.29E-05	2.2807363
ENSRNOT00000012135	LOC100361349	1.89E-05	2.0154034
ENSRNOT00000044052	AABR06019066.1	5.53E-07	2.365082
ENSRNOT00000066614	Sprr4	0.002293476	2.8729608
NM_001037581	Rhox10	0.004416675	3.9802664
NM_001079896	LOC367975	1.04E-05	8.3852751
ENSRNOT00000071886	LOC680236	0.005309472	2.9356301
ENSRNOT00000071343	AABR06101952.1	0.001084788	2.4719612
NM_001077590	Bves	0.000639784	5.6514012
NM_001108539	Hace1	6.31E-05	3.7564037
NM_001100725	Exosc7	3.40E-07	2.9282372
NM_181635	Kif15	0.000383313	4.1206043
ENSRNOT00000061476	AABR06058610.1	0.007015591	2.1016657
ENSRNOT00000071620	LOC100912852	0.002437485	2.2422019
ENSRNOT00000074599	AABR06058583.1	0.005062495	2.3223864
ENSRNOT00000058989	LOC503134	2.48E-06	3.6214584
NM_001012044	Lcp1	0.004795261	3.5399705
NM_001012742	Wee1	1.17E-05	2.4875011
NM_001134970	Sbf2	0.000184225	2.607674
ENSRNOT00000021014	RGD1560857	4.51E-07	2.0325912
ENSRNOT00000047825	AABR06045135.1	1.37E-05	7.1971841
ENSRNOT00000059403	Btn2a2	4.44E-05	2.5143446
ENSRNOT00000072286	LOC680097	0.000315381	3.3664735
NM_001013056	Hist1h2ail1	0.000197712	2.2697231
NM_001170337	Btn1a1	0.008096615	2.1744985
NM_022647	Hist1h2bl	0.00010588	3.732817
ENSRNOT00000072019	LOC682330	0.000396958	2.2970983
ENSRNOT00000075069	LOC684828	0.001831906	2.2778799
NM_001024282	Hist1h2af	1.55E-05	6.3371075
NM_001106113	Hist1h1a	9.55E-05	5.7995684
