#NearbyGene	NearbyGeneSymbol	P-value - mRNAs	Fold change - mRNAs
NM_053854	Nat2	0.001162658	3.0853735
NM_001024303	Lix1l	0.000463215	2.1856898
NM_001107320	Prosc	6.01E-06	6.732421
NM_138538	Dnm3	9.07E-05	2.8074985
ENSRNOT00000014468	Dlx6	1.67E-05	3.3051149
ENSRNOT00000076086	Dlx6	2.79E-05	2.7594129
NM_053479	Pola1	2.43E-05	5.7045675
NM_057119	Tra2b	4.24E-05	2.3064065
NM_001033696	Hnrnpdl	2.66E-06	4.3524595
NM_001106361	Pax2	0.000130287	2.8727695
ENSRNOT00000072450	Lmo3	1.85E-06	3.2357599
NM_053817	Nrxn3	0.000299743	3.1629365
NM_053479	Pola1	2.43E-05	5.7045675
NM_001134578	RGD1309139	0.001781008	2.1496147
NM_001107762	Nusap1	5.91E-07	10.8558823
NM_001047866	Cntnap5c	0.000406138	3.6993071
NM_012722	Eln	3.16E-05	2.2199395
NM_001105750	Stim2	0.000387528	2.7317881
ENSRNOT00000073971	Arhgef10	2.03E-05	2.085036
NM_139340	Plekha5	4.72E-06	13.3814969
NM_053977	Cdh17	0.008249034	2.5618981
NM_031802	Gabbr2	1.59E-06	6.3537233
ENSRNOT00000008851	LOC688875	0.004972431	2.3220149
NM_001106713	Klhl29	0.004929909	2.12248
NM_032070	Hmga2	6.13E-05	5.9975749
ENSRNOT00000033832	Mtcl1	3.05E-05	11.837776
NM_001014039	Tnfaip8l2	0.001436376	2.4697065
NM_001195564	Uaca	0.000104379	2.0362513
NM_019179	Tyms	3.47E-05	3.1717447
NM_001011890	Rnps1	0.011686864	2.1845956
NM_012642	Ren	0.000604252	2.3056182
NM_138538	Dnm3	9.07E-05	2.8074985
NM_001105750	Stim2	0.000387528	2.7317881
ENSRNOT00000072836	LOC100363894	4.76E-05	2.0591163
NM_001108885	Klhl14	0.002649504	16.3559934
NM_001101000	Mapre2	2.30E-05	3.0327614
ENSRNOT00000049860	LOC685160	1.63E-06	2.4024457
ENSRNOT00000041664	LOC102553939	1.59E-06	3.694671
NM_001005885	Dnajb13	6.82E-06	4.929777
NM_001107606	Sh3pxd2a	0.004693287	2.8506381
NM_001134505	Eno4	6.36E-05	5.0919576
NM_001014793	Kpna4	0.000338823	2.192811
NM_199407	Unc5c	0.000778692	4.2289379
NM_001270617	Slc12a1	1.80E-05	2.371211
NM_001108609	Pard6b	8.17E-05	2.5424716
NM_198771	Fam3c	1.76E-06	3.7220102
ENSRNOT00000040391	RGD1306271	0.000754696	2.5929933
NM_001134555	C1r	0.001159076	2.2438526
NM_001134555	C1r	0.001159076	2.2438526
NM_001013932	Fggy	0.000432431	2.2612116
NM_001013932	Fggy	0.000432431	2.2612116
NM_001014071	Errfi1	0.000402547	6.4828052
NM_001192017	Sult6b1	0.000321177	5.4790459
NM_001106717	Gen1	1.69E-05	5.5663985
NM_019342	Rgs6	0.001054153	7.5486654
NM_001135874	Ston2	1.60E-05	5.5491385
NM_032070	Hmga2	6.13E-05	5.9975749
NM_001271239	Tmem117	0.000344907	3.4945923
ENSRNOT00000038160	Col6a5	0.001092111	4.6229033
NM_001109093	Grb10	0.001060876	2.530894
NM_134356	Ptprg	0.001894238	2.6812739
NM_001109029	Sgcd	6.31E-06	3.5254447
NM_001134826	Sgcd	0.00020258	3.6417188
NM_032080	Gsk3b	1.73E-05	2.1124652
NM_012767	Gnrh1	0.001775362	2.7005086
ENSRNOT00000073612	LOC680653	0.000122987	2.4136176
NM_001271118	Nrg1	5.49E-05	34.0280723
NM_001271119	Nrg1	0.005053302	2.4988535
NM_001271121	Nrg1	0.007831014	2.1235727
NM_001271122	Nrg1	0.001331207	2.7361064
NM_001271125	Nrg1	0.000740648	2.2651771
NM_001271126	Nrg1	0.010404369	2.2210143
NM_001271129	Nrg1	0.000955295	3.7565499
NM_031588	Nrg1	3.47E-06	2.9456043
NM_001137626	E2f3	3.75E-05	6.6038842
NM_031525	Pdgfrb	0.002847569	2.5888556
ENSRNOT00000049860	LOC685160	1.63E-06	2.4024457
ENSRNOT00000042781	AABR06097777.1	0.0001741	3.9606227
ENSRNOT00000044037	AABR06096724.1	6.99E-06	18.3835724
ENSRNOT00000000438	Dna2	2.74E-05	2.5087811
ENSRNOT00000075069	LOC684828	0.001831906	2.2778799
NM_001108885	Klhl14	0.002649504	16.3559934
ENSRNOT00000007407	LOC686013	4.67E-06	6.19913
NM_001107491	Cxcl17	0.00073443	2.7854345
NM_001127530	LOC302022	6.78E-06	3.3528796
NM_001007235	Itpr1	0.000372083	6.2482306
NM_001270596	Itpr1	0.001445782	7.2744585
NM_001270597	Itpr1	0.000815463	10.6481232
NM_001109482	Ubxn2a	0.000183447	3.0572438
ENSRNOT00000074186	AABR06038420.1	0.04719732	2.0373345
NM_001107914	Adgrb2	0.000183721	2.3955315
NM_001134780	Parvb	0.00047662	3.0088019
NM_001271239	Tmem117	0.000344907	3.4945923
